0
"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley"
"William Joyce, Heather Hewitt, Walter Coy, Dan Stapleton"
"Peter Cushing, Andr� Morell, Richard Vernon, Norman Bird"
"Jean Gabin, Martine Carol, Fran�oise Rosay, Bernard Blier"
"John Lupton, Michael McGreevey, Don Keefer, Mary Webster"
"Rory Calhoun, Lea Massari, Georges Marchal, Conrado San Mart�n"
"Angelo, Nadine Ballot, R�gis Debray, Jacques"
"Rock Hudson, Gina Lollobrigida, Sandra Dee, Bobby Darin"
"Warren Finnerty, Jerome Raphael, Garry Goodrow, Jim Anderson"
"John Wayne, Stuart Whitman, Ina Balin, Nehemiah Persoff"
"Romy Schneider, Jean-Louis Trintignant, Henri Serre, Diane Lepvrier"
"Sophia Loren, Jean-Paul Belmondo, Eleonora Brown, Carlo Ninchi"
"Audrey Hepburn, Shirley MacLaine, James Garner, Miriam Hopkins"
"Antony Carbone, Betsy Jones-Moreland, Robert Towne, Beach Dickerson"
"Bradford Dillman, Suzy Parker, Harry Andrews, Robert Stephens"
"Clifford Evans, Oliver Reed, Yvonne Romain, Catherine Feller"
"Karla Chadimov�, Vlastimil Hasek, Josef Hlinomaz, Bedrich Karen"
"Maureen O'Hara, Brian Keith, Steve Cochran, Chill Wills"
"Janet Munro, Leo McKern, Edward Judd, Michael Goodliffe"
"Aleksey Batalov, Innokentiy Smoktunovskiy, Tatyana Lavrova, Nikolai Plotnikov"
"Johnny Cash, Donald Woods, Cay Forester, Pamela Mason"
"Walter Giller, Heinz Erhardt, Hans-Joachim Kulenkampff, Susanne Cramer"
"Spencer Tracy, Frank Sinatra, Kerwin Mathews, Jean-Pierre Aumont"
"Erika Remberg, Helmuth Schneider, Gunnar M�ller, Sascha Hehn"
"Hideko Takamine, Keiji Sada, Tatsuya Nakadai, Nobuko Otowa"
"Charlton Heston, Sophia Loren, Raf Vallone, Genevi�ve Page"
"Reg Park, Fay Spain, Ettore Manni, Luciano Marin"
"Reg Park, Christopher Lee, Leonora Ruffo, George Ardisson"
"Jerry Lewis, Brian Donlevy, Howard McNear, Dick Wesson"
"Ugo Tognazzi, Georges Wilson, Gianrico Tedeschi, Elsa Vazzoler"
"Efrem Zimbalist Jr., Angie Dickinson, Jack Kelly, Don Ameche"
"Jean-Paul Belmondo, Serge Reggiani, Jean Desailly, Ren� Lef�vre"
"Francis Francine, Sheila Bick, Joel Markman, Mario Montez"
"Yvonne Williams, Homer Nish, Tom Reynolds, Rico Rodriguez"
"Craig Hill, Paula Raymond, Dayton Lummis, Gregory Morton"
"Bradford Dillman, Dolores Hart, Stuart Whitman, Cecil Kellaway"
"Herbert Lom, John Gregson, Sean Connery, Alfred Marks"
"Nancy Kwan, James Shigeta, Benson Fong, Jack Soo"
"James Darren, Michael Callan, Deborah Walley, Carl Reiner"
"Ingrid Bergman, Yves Montand, Anthony Perkins, Jessie Royce Landis"
"Bill Travers, William Sylvester, Vincent Winter, Christopher Rhodes"
"Donald Crisp, Laurence Naismith, Alex Mackenzie, Duncan Macrae"
"Claude Rains, Bill Carter, Umberto Orsini, Maya Brent"
"Richard Todd, Anne Aubrey, Jamie Uys, Marty Wilde"
"Glenn Corbett, Patricia Breslin, Eugenie Leontovich, Alan Bunce"
"Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott"
"Osvald Helmuth, Ebbe Rode, Gunnar Lauring, Henning Moritzen"
"Steve McQueen, Brigid Bazlen, Jim Hutton, Paula Prentiss"
"Deborah Kerr, Peter Wyngarde, Megs Jenkins, Michael Redgrave"
"Pauline Murray, Sebastian Shaw, Bart Allison, Reginald Marsh"
"William Shatner, Frank Maxwell, Beverly Lunsford, Robert Emhardt"
"Cameron Mitchell, Alice Kessler, Ellen Kessler, George Ardisson"
"Jeffrey Hunter, Siobhan McKenna, Hurd Hatfield, Ron Randell"
"David Janssen, Dianne Foster, Jack Carson, Diana Dors"
"Don Murray, Larry Gates, Cindi Wood, Keir Dullea"
"Joel Rinne, Matti Ranin, Leo Jokela, Elina Salo"
"Ganjir� Nakamura, Setsuko Hara, Y�ko Tsukasa, Michiyo Aratama"
"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich"
"Jeanne Moreau, Oskar Werner, Henri Serre, Vanna Urbino"
"Jerry Lewis, Helen Traubel, Pat Stanley, Kathleen Freeman"
"Bert Sotlar, Velimir 'Bata' Zivojinovic, Milena Dravic, Olivera Markovic"
"Robert Mitchum, Jack Webb, Martha Hyer, France Nuyen"
"Michael Gough, Margo Johns, Jess Conrad, Claire Gordon"
"Anouk Aim�e, Marc Michel, Jacques Harden, Alan Scott"
"Rock Hudson, Kirk Douglas, Dorothy Malone, Joseph Cotten"
"Rock Hudson, Doris Day, Tony Randall, Edie Adams"
"Jean-Paul Belmondo, Emmanuelle Riva, Ir�ne Tunc, Nicole Mirel"
"Gordon Scott, Y�ko Tani, H�l�ne Chanel, Dante DiPaolo"
"Barbara Lass, Carl Schell, Curt Lowens, Maurice Marsac"
"Aliki Vougiouklaki, Dimitris Papamichael, Pantelis Zervos, Thodoros Moridis"
"John Davis Chandler, Kay Doubleday, Brooke Hayward, Neil Nephew"
"Rosalind Russell, Alec Guinness, Ray Danton, Madlyn Rhue"
"Ugo Tognazzi, Ilaria Occhini, Margrete Robsahm, Marisa Merlini"
"Stuart Whitman, Brenda de Banzie, Maurice Denham, Bandana Das Gupta"
"Vincent Price, Charles Bronson, Henry Hull, Mary Webster"
"Lucyna Winnicka, Mieczyslaw Voit, Anna Ciepielewska, Maria Chwalib�g"
"Paul Stevens, Claudette Nevins, Bill Walker, Anne Collings"
"Donald O'Connor, No�lle Adam, Vittorio De Sica, Aldo Fabrizi"
"Clark Gable, Marilyn Monroe, Montgomery Clift, Thelma Ritter"
"Furank� Sakai, Hiroshi Koizumi, Ky�ko Kagawa, Za P�nattsu"
"Ronald Lewis, Audrey Dalton, Guy Rolfe, Oskar Homolka"
"Gary Cooper, Deborah Kerr, Eric Portman, Diane Cilento"
"Michael Craig, Joan Greenwood, Michael Callan, Gary Merrill"
"Jean Coutu, �mile Genest, Uriel Luft, Robert Rivard"
Norman McLaren
"Margaret Rutherford, Arthur Kennedy, Muriel Pavlow, James Robertson Justice"
"Pascale Petit, Jean-Paul Belmondo, Massimo Girotti, Lilla Brignone"
"Tatsuya Nakadai, Michiyo Aratama, Tamao Nakamura, Y�suke Kawazu"
"Danny Kaye, Dana Wynter, Wilfrid Hyde-White, Margaret Rutherford"
"Peter Finch, Stanley Holloway, Mary Peach, Donald Pleasence"
"Alan Ladd, Franca Bettoia, Franco Fabrizi, Robert Keith"
"Rod Taylor, J. Pat O'Malley, Betty Lou Gerson, Martha Wentworth"
"Marlon Brando, Karl Malden, Katy Jurado, Ben Johnson"
"Dennis Hopper, Linda Lawson, Gavin Muir, Luana Anders"
"Hayley Mills, Maureen O'Hara, Brian Keith, Charles Ruggles"
"Paul Newman, Joanne Woodward, Sidney Poitier, Louis Armstrong"
"Troy Donahue, Claudette Colbert, Karl Malden, Dean Jagger"
"G�rard Blain, Paola Borboni, Miranda Campa, Andrea Checchi"
"James Cagney, Horst Buchholz, Pamela Tiffin, Arlene Francis"
"Dean Fredericks, Coleen Gray, Anthony Dexter, Francis X. Bushman"
"Vincent Price, John Kerr, Barbara Steele, Luana Anders"
"Dusa Pockaj, Miha Baloh, Rado Nakrst, Ali Raner"
"Glenn Ford, Bette Davis, Hope Lange, Arthur O'Connell"
"Loredana Detto, Sandro Panseri"
"Cassen, Jos� Luis L�pez V�zquez, Elvira Quintill�, Manuel Alexandre"
"Michael Craig, Fran�oise Pr�vost, Billie Whitelaw, William Lucas"
"Jean Gabin, Bernard Blier, Ren�e Faure, Henri Cr�mieux"
"Sidney Poitier, Claudia McNeil, Ruby Dee, Diana Sands"
"Carol Lynley, Jeff Chandler, Eleanor Parker, Mary Astor"
"Peter Ustinov, Sandra Dee, John Gavin, Akim Tamiroff"
"Salvo Randone, Frank Wolff"
"Evgeniy Morgunov, Georgiy Vitsin, Yuriy Nikulin"
"Vivien Leigh, Warren Beatty, Coral Browne, Jill St. John"
"Santo, Lorena Vel�zquez, Mar�a Duval, Jaime Fern�ndez"
"Debbie Reynolds, Steve Forrest, Andy Griffith, Juliet Prowse"
"Santo, Armando Silvestre, Jaime Fern�ndez, Dagoberto Rodr�guez"
"Monica Davis, John McKay, Phillip St. George, Edward Czerniuk"
"Richard Widmark, Sonja Ziemann, Charles Regnier, Walter Rilla"
"Kenne Duncan, Duke Moore, Jean Fontaine, Carl Anthony"
"Jill Ireland, Ellen Pollock, John Charlesworth, Jocelyn Britton"
"Angie Dickinson, Peter Finch, Roger Moore, Errol John"
"Carroll Baker, Ralph Meeker, Mildred Dunnock, Jean Stapleton"
"Anatoliy Papanov, Sergey Filippov, Serafim Anikeyev, Aleksandr Belyavskiy"
"Carol Heiss, Edson Stroll, Patricia Medina, Joe DeRita"
"Natalie Wood, Pat Hingle, Audrey Christie, Barbara Loden"
"Laurence Harvey, Geraldine Page, Rita Moreno, Una Merkel"
"Troy Donahue, Connie Stevens, Dorothy McGuire, Lloyd Nolan"
"Sandra Dee, John Gavin, Charles Drake, Virginia Grey"
"Susan Strasberg, Ronald Lewis, Ann Todd, Christopher Lee"
"Dora Bryan, Robert Stephens, Rita Tushingham, Murray Melvin"
"Harriet Andersson, Gunnar Bj�rnstrand, Max von Sydow, Lars Passg�rd"
"Jean-Pierre Talbot, Georges Wilson, Georges Loriot, Milo"
"Anil Chatterjee, Chandana Banerjee, Nripati Chatterjee, Khagen Pathak"
"Tot�, Peppino De Filippo, Mara Berni, Francesco Mul�"
"Kirk Douglas, Barbara R�tting, Christine Kaufmann, E.G. Marshall"
"Ayako Wakao, Hiroshi Kawaguchi, Eitar� Ozawa, Haruko Mabuchi"
"Bobby Darin, Stella Stevens, Everett Chambers, Nick Dennis"
"Shirley MacLaine, Laurence Harvey, Jack Hawkins, Nobu McCarthy"
"James Stewart, Richard Widmark, Shirley Jones, Linda Cristal"
"Jean-Paul Belmondo, Christine Kaufmann, Pierre Vaneck, B�atrice Altariba"
"Jean-Claude Brialy, Anna Karina, Jean-Paul Belmondo"
"Shin'ichi Chiba, Ry�ko Minakami, Mitsue Komiya, Seiichir� Kameishi"
"Cesare Danova, Sean McClory, Joan Staley, Danielle De Metz"
"Sandra Milo, Laurent Terzieff, Martine Carol, Paolo Stoppa"
"Cliff Robertson, Dolores Dorn, Beatrice Kay, Paul Dubov"
"James Robertson Justice, Leslie Phillips, Stanley Baxter, Eric Sykes"
"Silvia Pinal, Francisco Rabal, Fernando Rey, Jos� Calvo"
"Alberto Sordi, Lea Massari, Franco Fabrizi, Lina Volonghi"
"Dirk Bogarde, Sylvia Syms, Dennis Price, Anthony Nicholls"
"Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno"
"Walter Pidgeon, Joan Fontaine, Barbara Eden, Peter Lorre"
"Bernard Lee, Alan Bates, Norman Bird, Diane Clare"
"Toshir� Mifune, Tatsuya Nakadai, Y�ko Tsukasa, Isuzu Yamada"
"Elvis Presley, Hope Lange, Tuesday Weld, Millie Perkins"
"Burt Lancaster, Dina Merrill, Edward Andrews, Vivian Nathan"
"Nicolas Yumatov, �tienne Lalou, Igor Barr�re"
"Oleg Borisov, Margarita Krinitsyna, Nikolay Yakovchenko, A. Kushnirenko"
"Waheeda Rehman, Soumitra Chatterjee, Ruma Guha Thakurta, Gyanesh Mukherjee"
"Franchot Tone, Lew Ayres, Henry Fonda, Walter Pidgeon"
"Eva Marie Saint, Warren Beatty, Karl Malden, Angela Lansbury"
"Richard Egan, Ralph Richardson, Diane Baker, Barry Coe"
"Hashiz� �kawa, Ry�tar� �tomo, Satomi Oka, Rentar� Mikuni"
"Ian Carmichael, Joan Greenwood, Cecil Parker, Dennis Price"
"Vincent Winter, Sean Scully, Peter Weck, Hans Holt"
"Jos� Luis L�pez V�zquez, Cassen, Gracita Morales, Katia Loritz"
"Andr�s Csorba, Ilona B�res, Ern� Szab�, Marianne Krencsey"
"David Farrar, No�lle Adam, Christopher Lee, Gillian Hills"
"Robert Ryan, Peter Ustinov, Melvyn Douglas, Paul Rogers"
"Lilli Palmer, James Mason, Gabriele Ferzetti, Alberto Lupo"
"Marisa Solinas, Germano Gilioli, Anita Ekberg, Peppino De Filippo"
"Doris Day, Stephen Boyd, Jimmy Durante, Martha Raye"
"Burt Lancaster, Karl Malden, Thelma Ritter, Neville Brand"
"Glynis Johns, Dan O'Herlihy, Richard Davalos, Lawrence Dobkin"
"Kim Novak, James Garner, Tony Randall, Howard Duff"
"Sidney James, Kenneth Williams, Kenneth Connor, Liz Fraser"
"Per Aabel, Norma Bengell, Hugo Carvana, Lucy de Carvalho"
"Hildegard Knef, Sergio Fantoni, Giacomo Rossi Stuart, Angela Cavo"
"Nadja Tiller, Jean-Claude Brialy, Perrette Pradier, Edith Scob"
"Lillevi Bergman, G�sta Ekman, Bertil Anderberg, �ke Fridell"
"Efrem Zimbalist Jr., Jane Fonda, Claire Bloom, Shelley Winters"
"Vladimir Korenev, Anastasiya Vertinskaya, Mikhail Kozakov, Anatoliy Smiranin"
"Jean-Pierre Cassel, Claude Brasseur, O.E. Hasse, Claude Rich"
"Jean-Paul Belmondo, Claudia Cardinale, Jess Hahn, Marcel Dalio"
"Mario Carotenuto, Andrea Checchi, H�l�ne Chanel, Gina Rovere"
"Gregory Peck, Robert Mitchum, Polly Bergen, Lori Martin"
"Y�z� Kayama, Tatsuya Mihashi, Akira Takarada, Y�suke Natsuki"
"Candace Hilligoss, Frances Feist, Sidney Berger, Art Ellison"
"Corinne Marchand, Antoine Bourseiller, Dominique Davray, Doroth�e Blanck"
"Vincent Price, Linda Ho, Richard Loo, June Kyoto Lu"
"William Holden, Lilli Palmer, Hugh Griffith, Carl Raddatz"
"Don Megowan, Erica Elliott, Frances McCann, Don Doolittle"
"Leslie Phillips, Stanley Baxter, Wilfrid Hyde-White, Julie Christie"
"Francesco Ruiu, Giancarlo De Rosa, Vincenzo Ciccora, Alfredo Leggi"
"Kent Taylor, Marie Windsor, William Mims, Betty Beall"
"Jack Lemmon, Lee Remick, Charles Bickford, Jack Klugman"
"Keir Dullea, Janet Margolin, Howard Da Silva, Neva Patterson"
"Howard Keel, Nicole Maurey, Janette Scott, Kieron Moore"
"Hardy Kr�ger, Nicole Courcel, Patricia Gozzi, Daniel Ivernel"
"Enrique Santisteban, Reynaldo Miravalles, Ren� S�nchez, Pil�n Vallejo"
"Alec Guinness, Dirk Bogarde, Maurice Denham, Nigel Stock"
"Tot�, Walter Pidgeon, Nino Taranto, Scilla Gabel"
"Franco Franchi, Ciccio Ingrassia, Alighiero Noschese, Rosalba Neri"
"Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord"
"Arch Hall Jr., Marilyn Manning, Richard Kiel, Arch Hall Sr."
"Donald Pleasence, Coral Browne, Samantha Eggar, Donald Wolfit"
"Irene Papas, Giannis Fertis, Aleka Katselli, Theano Ioannidou"
"May Heatherly, Virgilio Teixeira, Luis Mar�n, Jes�s Puente"
"Marcello Mastroianni, Daniela Rocca, Stefania Sandrelli, Leopoldo Trieste"
"Carlo Cabrini, Anna Canzi"
"Red Buttons, Fabian, Barbara Eden, Cedric Hardwicke"
"Elvis Presley, Arthur O'Connell, Anne Helm, Joanna Moore"
"Glenn Ford, Lee Remick, Stefanie Powers, Roy Poole"
"Jean Gabin, Madeleine Robinson, Frank Villard, Jean Lefebvre"
"Chuck Connors, Kamala Devi, Pat Conway, Armando Silvestre"
"Ciccio Ingrassia, Franco Franchi, Gino Cervi, Tot�"
"Elvis Presley, Stella Stevens, Jeremy Slate, Laurel Goodwin"
"Ugo Tognazzi, Raimondo Vianello, Francisco Rabal, Jocelyn Lane"
"Sylva Koscina, Walter Chiari, Myl�ne Demongeot, Paolo Ferrari"
"Jackie Gleason, Katherine Kath, Gabrielle Dorziat, Jean Lefebvre"
"Montgomery Clift, Susannah York, Larry Parks, Susan Kohner"
"Nobuko Otowa, Taiji Tonoyama, Shinji Tanaka, Masanori Horimoto"
"Rosalind Russell, Natalie Wood, Karl Malden, Paul Wallace"
"John Wayne, Hardy Kr�ger, Elsa Martinelli, Red Buttons"
"Conrado San Mart�n, Diana Lorys, Howard Vernon, Perla Cristal"
"Larisa Golubkina, Yuriy Yakovlev, Igor Ilyinsky, Nikolay Kryuchkov"
"Steve McQueen, Bobby Darin, Fess Parker, Harry Guardino"
Reinhard Lichtenberg
"Shirley Knight, Andrew Duggan, Constance Ford, Barbara Nichols"
"Carroll Baker, Lee J. Cobb, Henry Fonda, Carolyn Jones"
"Richard Basehart, Cordula Trantow, Maria Emo, Martin Kosleck"
"Pierre Brice, Daniele Vargas, H�l�ne Chanel, Massimo Serato"
"Sandra Dee, Bobby Darin, Micheline Presle, John Lund"
"Maurice Chevalier, Hayley Mills, George Sanders, Wilfrid Hyde-White"
"Jerry Lewis, Joan O'Brien, Zachary Scott, Jack Weston"
"Nikolay Burlyaev, Valentin Zubkov, Evgeniy Zharikov, Stepan Krylov"
"Kerwin Mathews, Judi Meredith, Torin Thatcher, Walter Burke"
"Hideko Takamine, Akira Takarada, Daisuke Kat�, Keiju Kobayashi"
"Gordon Mitchell, Jacques Bergerac, Cristina Gaioni, Gloria Milland"
"James Mason, Neville Brand, Kate Manx, Rip Torn"
"Jean N�groni, H�l�ne Chatelain, Davos Hanich, Jacques Ledoux"
"Susan Hayward, Peter Finch, Diane Cilento, Cyril Cusack"
"John Agar, Greta Thyssen, Carl Ottosen, Peter Monch"
"Chhabi Biswas, Karuna Bannerjee, Pahadi Sanyal, Anil Chatterjee"
"Alan Bates, June Ritchie, Thora Hird, Bert Palmer"
"Tadao Takashima, Kenji Sahara, Y� Fujiki, Ichir� Arishima"
"Keiko Kishi, Tatsuya Nakadai, S� Yamamura, Seiji Miyaguchi"
"Peter Breck, Peggy McCay, Carroll O'Connor, Angela Cartwright"
"Rosanna Schiaffino, Bruce Balaban, Maria Pia Schiaffino, Jean-Marc Bory"
"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins"
"Jir� Tamiya, Junko Kan�, Eiji Funakoshi, Hideo Takamatsu"
"Rex Allen, Ingvald Lieberkind"
"Kirk Douglas, Gena Rowlands, Walter Matthau, Michael Kane"
"William Holden, Trevor Howard, Capucine, Pamela Franklin"
"Stephen Boyd, Dolores Hart, Leo McKern, Hugh Griffith"
"Olivia de Havilland, Rossano Brazzi, Yvette Mimieux, George Hamilton"
"Michael Redgrave, Tom Courtenay, Avis Bunnage, Alec McCowen"
"Kirk Morris, Laura Brown, Demeter Bitenc, Frank Leroy"
"Eddie Albert, Paul Anka, Arletty, Jean-Louis Barrault"
"John Wayne, James Stewart, Vera Miles, Lee Marvin"
"Dana Andrews, Eleanor Parker, Jeanne Crain, Eddie Albert"
"Alberto Sordi, Norma Bengell, Gabriella Conti, Ugo Attanasio"
"Basil Rathbone, Estelle Winwood, Gary Lockwood, Anne Helm"
"Katharine Hepburn, Ralph Richardson, Jason Robards, Dean Stockwell"
"Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury"
"Anna Magnani, Ettore Garofolo, Franco Citti, Silvana Corsini"
"Jeff Chandler, Ty Hardin, Peter Brown, Andrew Duggan"
"Lyudmila Marchenko, Aleksandr Zbruev, Oleg Dal, Andrey Mironov"
"James Stewart, Maureen O'Hara, Fabian, Lauri Peters"
"Shirley MacLaine, Yves Montand, Edward G. Robinson, Robert Cummings"
"Anne Bancroft, Victor Jory, Inga Swenson, Andrew Prine"
"Robert Preston, Shirley Jones, Buddy Hackett, Hermione Gingold"
"Larisa Luzhina, Sofiya Pilyavskaya, Vyacheslav Tikhonov, Klara Luchko"
"Peter Wyngarde, Janet Blair, Margaret Johnston, Anthony Nicholls"
"Leon Niemczyk, Jolanta Umecka, Zygmunt Malanowicz"
"Roger Jacquet, Anne Cornaly, Anker Larsen, St�phane Fey"
"Kim Novak, Jack Lemmon, Fred Astaire, Lionel Jeffries"
"Marietta, William Mayer, Lester Brown, Pat Reilly"
"Jacques Charrier, St�phane Audran, Walther Reyer, Erika Tweer"
"Barbara Steele, Robert Flemyng, Silvano Tranquilli, Maria Teresa Vianello"
"Peter Sellers, Mai Zetterling, Virginia Maskell, Kenneth Griffith"
"Leonardo Villar, Gl�ria Menezes, Dion�sio Azevedo, Geraldo Del Rey"
"Anthony Franciosa, Jane Fonda, Jim Hutton, Lois Nettleton"
"Ray Milland, Jean Hagen, Frankie Avalon, Mary Mitchel"
"Ry� Ikebe, Mariko Kaga, Takashi Fujiki, Naoki Sugiura"
"Melina Mercouri, Anthony Perkins, Raf Vallone, Elizabeth Ercy"
"Kerwin Mathews, Glenn Corbett, Christopher Lee, Peter Arne"
"Aleksei Gribov, Ivan Dmitriev, Margarita Nazarova, Evgeniy Leonov"
"Adriana Asti, Francesco Barilli, Allen Midgette, Morando Morandini"
"Ray Milland, Hazel Court, Richard Ney, Heather Angel"
"Sidney Poitier, Bobby Darin, Peter Falk, Carl Benton Reid"
"Chelo Alonso, Jacques Sernas, Folco Lulli, Philippe Hersent"
"Maximilian Schell, Ricardo Montalban, Lea Padovani, Akim Tamiroff"
"Bent Mejding, Asbj�rn Andersen, Povl W�ldike, Ann Smyrner"
"Anthony Quinn, Jackie Gleason, Mickey Rooney, Julie Harris"
"Patrick McGoohan, Sylvia Syms, Walter Macken, Dermot Kelly"
"Leslie Caron, Charles Aznavour, Raymond Bussi�res, Michel Serrault"
"Regina Bianchi, Aldo Giuffr�, Lea Massari, Jean Sorel"
"Randolph Scott, Joel McCrea, Mariette Hartley, Ron Starr"
"George E. Mather, Austin Green, Esther Furst, Norman Ollestad"
"Bing Crosby, Bob Hope, Joan Collins, Robert Morley"
"Mickey Mantle, Roger Maris, William Frawley, Patricia Barry"
"William Holden, Clifton Webb, France Nuyen, Athene Seyler"
"Meena Kumari, Guru Dutt, Rehman, Waheeda Rehman"
"Toshir� Mifune, Tatsuya Nakadai, Keiju Kobayashi, Y�z� Kayama"
"Chish� Ry�, Shima Iwashita, Keiji Sada, Mariko Okada"
"Dani�le Barraud, Jean-Pierre Cassel, Jacques Charrier, Claude Rich"
"Sophia Loren, Maximilian Schell, Fredric March, Robert Wagner"
"Richard Harrison, Loredana Nusciak, Livio Lorenzon, G�rard Tichy"
"Stewart Granger, Pier Angeli, Stanley Baker, Rossana Podest�"
"Robert Hutton, Les Tremayne, Robert Burton, Susan Hart"
"Vittorio Gassman, Catherine Spaak, Jean-Louis Trintignant, Claudio Gora"
"France Arnel, Pierre �taix, Laurence Ligni�res, Claude Massot"
"Vincent Price, Maggie Pierce, Leona Gage, Peter Lorre"
"Paul Newman, Geraldine Page, Shirley Knight, Ed Begley"
"Jennifer Jones, Jason Robards, Joan Fontaine, Tom Ewell"
"Abhi Bhattacharya, Bijon Bhattacharya, Indrani Chakrabarty, Gita Dey"
"Cary Grant, Doris Day, Gig Young, Audrey Meadows"
"Macdonald Carey, Shirley Anne Field, Viveca Lindfors, Alexander Knox"
"Moe Howard, Larry Fine, Joe DeRita, Vicki Trickett"
"Joe DeRita, Larry Fine, Moe Howard, Carol Christensen"
"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy"
"James Mason, John Mills, Claude Dauphin, Herbert Lom"
"Tony Curtis, Yul Brynner, Christine Kaufmann, Sam Wanamaker"
"Tot�, Raimondo Vianello, Nadia Sanders, Luigi Pavese"
"Kirk Douglas, Edward G. Robinson, Cyd Charisse, George Hamilton"
"�ngel Aranda, Mar�a Mahor, Luis Prendes, Manuel Gil"
"Joel Rinne, Matti Ranin, Leo Jokela, Helge Herala"
"Espartaco Santoni, Frankie Avalon, Cesar Romero, Tere Vel�zquez"
"Jean Gabin, Jean-Paul Belmondo, Suzanne Flon, Gabrielle Dorziat"
"Robert Mitchum, Shirley MacLaine, Edmon Ryan, Elisabeth Fraser"
"Jean-Paul Belmondo, Claudia Cardinale, Pietro Germi, Romolo Valli"
"Annie Girardot, Catherine Deneuve, Robert Hossein, O.E. Hasse"
"Nils Asther, Anita Bj�rk, Jan Malmsj�, Karl-Arne Holmsten"
"Marlon Brando, Eiji Okada, Sandra Church, Pat Hingle"
"Myron Healey, Tsuruko Kobayashi, Clifford Kawada, Derick Shimatsu"
"Gian Maria Volont�, Didi Perego, Turi Ferro, Spiros Foc�s"
"Anna Karina, Sady Rebbot, Andr� S. Labarthe, Guylaine Schlumberger"
"Laurence Harvey, Capucine, Jane Fonda, Anne Baxter"
"Ugo Tognazzi, Catherine Spaak, Gianni Garko, Franco Giacobini"
"Raf Vallone, Jean Sorel, Maureen Stapleton, Carol Lawrence"
"Peter Sellers, Dany Robin, Margaret Leighton, John Fraser"
"Bette Davis, Joan Crawford, Victor Buono, Wesley Addy"
"Sammy Gilbert, Anthony-James Ryan, Jackie Moran, Terri Taylor"
"Peter Sellers, Lionel Jeffries, Bernard Cribbins, Davy Kaye"
"Timothy Carey, Gil Barreto, Betty Rowland, James Farley"
"Shintar� Katsu, Masayo Banri, Ry�z� Shimada, Hajime Mitamura"
"Tom Poston, Julia Meade, Jim Backus, Fred Clark"
"Ewa Krzyzewska, Edmund Fetting, Elzbieta Czyzewska, Beata Tyszkiewicz"
"Arch Hall Jr., Nancy Czar, Arch Hall Sr., Ray Dennis Steckler"
"Silvia Pinal, Enrique Rambal, Claudio Brook, Jos� Baviera"
"Alain Delon, Monica Vitti, Francisco Rabal, Lilla Brignone"
"Laurence Harvey, Karlheinz B�hm, Claire Bloom, Walter Slezak"
"Murray Hamilton, Joyce Taylor, Hugh Marlowe, Khigh Dhiegh"
"Charlton Heston, Ava Gardner, David Niven, Flora Robson"
"Marcello Mastroianni, Claudia Cardinale, Anouk Aim�e, Sandra Milo"
"Jos� Su�rez, Luis Pe�a, Carlos Otero, Joaqu�n Navales"
"Jean Simmons, Robert Preston, Pat Hingle, Aline MacMahon"
"Simon Carmiggelt, Bert Haanstra, Peter Ustinov"
"George Hamilton, Jason Robards, Jack Klugman, Sam Levene"
"Stathis Giallelis, Frank Wolff, Harry Davis, Elena Karam"
"Jeanne Moreau, Claude Mann, Paul Guers, Henri Nassiet"
"Fritz Lang, Brigitte Bardot, Raoul Coutard, Jean-Luc Godard"
"William Kerwin, Mal Arnold, Connie Mason, Lyn Bolton"
"Tom Courtenay, Wilfred Pickles, Mona Washbourne, Ethel Griffies"
"Tippi Hedren, Suzanne Pleshette, Rod Taylor, Jessica Tandy"
"Robert Cummings, Dorothy Malone, Frankie Avalon, Annette Funicello"
"Alberto Sordi, Gianna Maria Canale, Ettore Geri, Elena Nicolai"
"Jece Valad�o, Odete Lara, Daniel Filho, Maria L�cia Monteiro"
"Bob Hope, Anita Ekberg, Edie Adams, Lionel Jeffries"
"Janet Leigh, Dick Van Dyke, Ann-Margret, Maureen Stapleton"
"Gregory Peck, Tony Curtis, Angie Dickinson, Eddie Albert"
"Barbet Schroeder, Claudine Soubrier, Mich�le Girardon"
"Robert Stack, Polly Bergen, Diane McBain, Joan Crawford"
"Catherine S�e, Philippe Beuzen, Christian Charri�re, Diane Wilkinson"
"Guy Williams, Heidi Br�hl, Pedro Armend�riz, Abraham Sofaer"
"Marino Mas�, Patrice Moullet, Genevi�ve Gal�a, Catherine Ribeiro"
"Laurence Harvey, Sarah Miles, Robert Walker Jr., John Ireland"
"Sidney James, Hattie Jacques, Kenneth Connor, Charles Hawtrey"
"Tom Tryon, Carol Lynley, Dorothy Gish, Maggie McNamara"
"Ladislav Jakim, Pavla Martinkova, Jan Vostrcil, Vladim�r Pucholt"
"Burt Lancaster, Judy Garland, Gena Rowlands, Steven Hill"
"Ian Hendry, Alan Badel, Barbara Ferris, Alfred Burke"
